Designator,Mid X,Mid Y,Rotation,Layer
BAT+1,87.0,-99.0,0.0,top
BAT+2,213.0,-99.0,0.0,top
BATGND1,92.0,-99.0,0.0,top
BATGND2,208.0,-99.0,0.0,top
DL1,140.677565,-97.695348,270.0,top
DL10,137.127565,-68.894348,270.0,top
DL11,133.577565,-97.695348,270.0,top
DL12,133.577565,-90.496348,270.0,top
DL13,133.577565,-83.297348,270.0,top
DL14,133.577565,-76.093348,270.0,top
DL15,133.577565,-68.894348,270.0,top
DL16,34.0,-98.5,10.0,top
DL17,133.577565,-104.894348,270.0,top
DL18,137.127565,-104.894348,270.0,top
DL19,140.677565,-104.894348,270.0,top
DL2,140.677565,-90.496348,270.0,top
DL3,140.677565,-83.292348,270.0,top
DL4,140.677565,-76.093348,270.0,top
DL5,140.677565,-68.894348,270.0,top
DL6,137.127565,-97.695348,270.0,top
DL7,137.127565,-90.496348,270.0,top
DL8,137.127565,-83.297348,270.0,top
DL9,137.127565,-76.093348,270.0,top
DR1,166.422435,-97.695348,270.0,top
DR10,162.872435,-68.894348,270.0,top
DR11,159.322435,-97.695348,270.0,top
DR12,159.322435,-90.496348,270.0,top
DR13,159.322435,-83.297348,270.0,top
DR14,159.322435,-76.093348,270.0,top
DR15,159.322435,-68.894348,270.0,top
DR16,266.0,-98.5,170.0,top
DR17,166.422435,-104.894348,270.0,top
DR18,162.872435,-104.894348,270.0,top
DR19,159.322435,-104.894348,270.0,top
DR2,166.422435,-90.496348,270.0,top
DR3,166.422435,-83.297348,270.0,top
DR4,166.422435,-76.093348,270.0,top
DR5,166.422435,-68.894348,270.0,top
DR6,162.872435,-97.695348,270.0,top
DR7,162.872435,-90.496348,270.0,top
DR8,162.872435,-83.297348,270.0,top
DR9,162.872435,-76.093348,270.0,top
J1,138.2,-56.675,0.0,top
J2,161.8,-56.675,0.0,top
PWR_2,65.125,-51.8,270.0,top
PWR,234.925,-51.8,270.0,top
RST,177.0,-52.675,0.0,top
RSW1,123.0,-52.675,0.0,top
SWL1,45.718885,-79.730781,10.0,top
SWL10,122.741255,-82.057769,0.0,top
SWL11,51.622999,-113.214679,10.0,top
SWL12,68.4242,-98.097409,4.0,top
SWL13,86.741279,-87.901408,0.0,top
SWL14,104.741291,-96.337887,0.0,top
SWL15,122.741255,-99.057989,0.0,top
SWL16,32.520941,-108.822728,10.0,top
SWL17,99.715215,-117.047348,0.0,top
SWL18,119.890882,-119.353299,345.0,top
SWL19,138.263098,-126.544031,330.0,top
SWL2,66.052449,-64.179792,4.0,top
SWL3,86.741279,-53.900968,0.0,top
SWL4,104.741291,-62.337447,0.0,top
SWL5,122.741255,-65.057549,0.0,top
SWL6,48.670941,-96.472728,10.0,top
SWL7,67.238325,-81.1386,4.0,top
SWL8,86.741279,-70.901188,0.0,top
SWL9,104.741291,-79.337667,0.0,top
SWR1,257.405843,-79.460382,350.0,top
SWR10,180.365335,-82.142847,0.0,top
SWR11,251.501729,-112.944279,350.0,top
SWR12,234.699911,-98.046068,356.0,top
SWR13,216.365215,-87.901408,0.0,top
SWR14,198.365255,-96.337887,0.0,top
SWR15,180.365335,-99.143067,0.0,top
SWR16,270.555843,-108.535382,350.0,top
SWR17,203.390215,-117.047348,0.0,top
SWR18,183.037107,-119.76877,15.0,top
SWR19,163.167266,-126.587332,30.0,top
SWR2,237.071662,-64.128451,356.0,top
SWR3,216.365215,-53.900968,0.0,top
SWR4,198.365255,-62.337447,0.0,top
SWR5,180.365295,-65.057549,0.0,top
SWR6,254.453784,-96.202331,350.0,top
SWR7,235.885787,-81.08726,356.0,top
SWR8,216.365215,-70.901188,0.0,top
SWR9,198.365255,-79.337667,0.0,top
